Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,267.799988,284.200012,256.600006,256.850006,254.160950,11461093
2021-05-01,259.000000,304.399994,252.050003,298.350006,295.226471,12988853
2021-06-01,300.799988,320.500000,284.950012,313.899994,313.899994,10176033
2021-07-01,315.250000,324.100006,301.399994,306.100006,306.100006,8250816
2021-08-01,309.299988,336.250000,297.399994,300.450012,300.450012,10155594
2021-09-01,301.950012,306.450012,266.450012,271.799988,271.799988,12465039
2021-10-01,270.000000,285.000000,257.000000,283.299988,283.299988,11525983
2021-11-01,283.200012,300.250000,248.399994,255.550003,255.550003,14519626
2021-12-01,258.500000,267.000000,242.949997,253.199997,253.199997,10438411
2022-01-01,254.350006,263.750000,231.550003,242.250000,242.250000,15383946
2022-02-01,244.300003,248.100006,200.550003,212.050003,212.050003,15562085
2022-03-01,212.350006,214.800003,170.080002,184.940002,184.940002,8955551
