Date,Open,High,Low,Close,Adj Close,Volume
2021-03-02,291.600006,293.200012,288.600006,290.200012,287.161804,427096
2021-03-03,290.000000,293.100006,286.600006,289.500000,286.469116,392201
2021-03-04,289.600006,289.600006,279.200012,279.200012,276.276947,617587
2021-03-05,278.100006,280.500000,271.500000,271.500000,268.657562,805911
2021-03-08,273.100006,282.000000,271.700012,280.200012,277.266479,702457
2021-03-09,281.399994,287.500000,279.799988,282.500000,279.542389,945890
2021-03-10,282.000000,306.799988,281.700012,290.299988,287.260742,1123135
2021-03-11,294.500000,301.200012,292.299988,300.000000,296.859192,682139
2021-03-12,299.100006,301.200012,295.899994,298.899994,295.770691,560959
2021-03-15,298.799988,298.899994,292.700012,292.799988,289.734558,501181
2021-03-16,294.000000,295.299988,287.500000,287.500000,284.490051,673727
2021-03-17,287.299988,289.399994,282.200012,285.000000,282.016235,619085
2021-03-18,285.500000,288.100006,284.299988,287.000000,283.995300,593750
2021-03-19,283.899994,286.500000,279.600006,281.000000,278.058105,1330384
2021-03-22,279.500000,282.899994,277.399994,278.000000,275.089508,561676
2021-03-23,276.500000,283.000000,273.799988,281.200012,278.256012,530372
2021-03-24,279.299988,283.399994,276.700012,278.799988,275.881134,418152
2021-03-25,273.100006,273.399994,259.700012,261.799988,259.059113,1743067
2021-03-26,266.899994,267.899994,259.399994,261.700012,258.960175,1447200
2021-03-29,261.600006,268.799988,261.600006,264.100006,261.335052,745636
2021-03-30,263.899994,265.200012,262.399994,265.000000,262.225616,684867
2021-03-31,265.500000,266.600006,263.700012,266.200012,263.413055,566359
2021-04-01,267.799988,271.899994,266.100006,270.750000,267.915405,496011
2021-04-06,276.000000,277.649994,272.200012,276.000000,273.110443,707653
2021-04-07,276.000000,276.000000,270.500000,270.500000,267.668030,522754
2021-04-08,271.799988,277.549988,270.750000,276.750000,273.852600,521307
2021-04-09,276.850006,282.350006,275.600006,280.000000,277.068573,744033
2021-04-12,281.950012,284.200012,280.649994,281.600006,278.651825,565495
2021-04-13,282.000000,283.299988,279.799988,280.450012,277.513885,446642
2021-04-14,280.549988,281.549988,275.049988,277.600006,274.693695,545673
2021-04-15,277.649994,278.600006,273.450012,277.549988,274.644226,554362
2021-04-16,276.899994,279.250000,273.450012,277.899994,274.990540,670692
2021-04-19,277.799988,282.649994,277.000000,277.200012,274.297913,405119
2021-04-20,276.350006,277.000000,268.000000,269.100006,266.282684,723418
2021-04-21,270.000000,273.399994,269.100006,271.549988,268.707031,526549
2021-04-22,273.100006,273.299988,269.000000,270.299988,267.470123,513407
2021-04-23,269.049988,270.799988,264.149994,266.100006,263.314117,595682
2021-04-26,266.100006,267.950012,265.299988,265.299988,262.522461,383789
2021-04-27,264.649994,266.049988,261.549988,262.750000,259.999176,656396
2021-04-28,262.049988,264.600006,258.600006,258.850006,256.140015,770974
2021-04-29,260.100006,265.149994,259.350006,260.600006,257.871674,511872
2021-04-30,260.399994,263.250000,256.600006,256.850006,254.160950,599265
2021-05-03,259.000000,261.850006,257.549988,259.799988,257.080048,320699
2021-05-04,260.149994,261.000000,252.050003,252.550003,249.905960,942337
2021-05-05,253.149994,260.149994,253.000000,259.600006,256.882141,667214
2021-05-06,260.200012,261.799988,254.500000,258.799988,256.090515,582635
2021-05-07,280.100006,281.600006,275.450012,280.600006,277.662292,1696760
2021-05-10,284.899994,288.600006,282.100006,286.450012,283.451050,869591
