,Date,Open,High,Low,Close,Adj Close,Volume,exchange_rate
0,2021-03-02,350.7364872168,293.200012,288.600006,349.05257443360006,345.39821785120006,427096,1.2028
1,2021-03-03,349.39200000000005,293.100006,286.600006,348.7896,345.1379909568,392201,1.2048
2,2021-03-04,348.5046472204,289.600006,279.200012,335.98929444080005,332.47167801980004,617587,1.2034
3,2021-03-05,331.9957871628,280.5,271.5,324.1167,320.72339751559997,805911,1.1938
4,2021-03-08,324.06046711960005,282.0,271.700012,332.48533423920003,329.00440398140006,702457,1.1866
5,2021-03-09,334.69715286359997,287.5,279.799988,336.0055,332.48771747660004,945890,1.1894
6,2021-03-10,335.3544,306.799988,281.700012,345.2247457296,341.6104743864,1123135,1.1892
7,2021-03-11,352.48705,301.200012,292.299988,359.07000000000005,355.3107669048,682139,1.1969
8,2021-03-12,356.9160371598,301.200012,295.899994,356.6773628402,352.9431655703,560959,1.1933
9,2021-03-15,356.16958569599996,298.899994,292.700012,349.01758569599997,345.36359313599996,501181,1.192
10,2021-03-16,350.62440000000004,295.299988,287.5,342.8725,339.2828348226,673727,1.1926
11,2021-03-17,312.9271469296,289.399994,282.200012,310.42199999999997,307.172083162,619085,1.0892
12,2021-03-18,340.0876,288.100006,284.299988,341.87440000000004,338.29520136,593750,1.1912
13,2021-03-19,337.5854828654,286.5,279.600006,334.13710000000003,330.6388926555,1330384,1.1891
14,2021-03-22,333.3317,282.899994,277.399994,331.54280000000006,328.07174724080005,561676,1.1926
15,2021-03-23,328.56494999999995,283.0,273.799988,334.1499742596,330.65161905959997,530372,1.1883
16,2021-03-24,330.27223581,283.399994,276.700012,329.68098581000004,326.229440955,418152,1.1825
17,2021-03-25,322.3126270812,273.399994,259.700012,308.9763458376,305.7415651626,1743067,1.1802
18,2021-03-26,314.46157293079995,267.899994,259.399994,308.3349541384,305.10687818499997,1447200,1.1782
19,2021-03-29,308.26944707039996,268.799988,261.600006,311.2154470704,307.9572252768,745636,1.1784
20,2021-03-30,309.8449829554,265.200012,262.399994,311.13649999999996,307.87909574559995,684867,1.1741
21,2021-03-31,311.29875000000004,266.600006,263.700012,312.11951407000004,308.8518069875,566359,1.1725
22,2021-04-01,314.5578659048,271.899994,266.100006,318.02295000000004,314.69343471300004,496011,1.1746
23,2021-04-06,326.01120000000003,277.649994,272.200012,326.01120000000003,322.5980552716,707653,1.1812
24,2021-04-07,327.99839999999995,276.0,270.5,321.4622,318.09668685199995,522754,1.1884
25,2021-04-08,322.7081257524,277.549988,270.75,328.585275,325.14519198,521307,1.1873
26,2021-04-09,329.1192871328,282.350006,275.600006,332.86400000000003,329.37911958240005,744033,1.1888
27,2021-04-12,335.6332942848,284.200012,280.649994,335.2166471424,331.7071324799999,565495,1.1904
28,2021-04-13,335.4672,283.299988,279.799988,333.6233342752,330.130517596,446642,1.1896
29,2021-04-14,335.65000564319996,281.549988,275.049988,332.12064717839996,328.643536698,545673,1.1964
30,2021-04-15,332.34704281800003,278.600006,273.450012,332.227335636,328.749138522,554362,1.197
31,2021-04-16,331.8923328084,279.25,273.450012,333.0909328084,329.603661244,670692,1.1986
32,2021-04-19,334.33228555799997,282.649994,277.0,333.61021444200003,330.11753829549997,405119,1.2035
33,2021-04-20,333.0293922306,277.0,268.0,324.29241723060005,320.89726248840003,723418,1.2051
34,2021-04-21,324.189,273.399994,269.100006,326.0500705916,322.6365321217,526549,1.2007
35,2021-04-22,328.9762672276,273.299988,269.0,325.60336554479994,322.19451016579995,513407,1.2046
36,2021-04-23,324.6357155208,270.799988,264.149994,321.0762672396,317.7148135722,595682,1.2066
37,2021-04-26,321.581857251,267.950012,265.299988,320.61503549799994,317.2583941185,383789,1.2085
38,2021-04-27,319.9089127472,266.049988,261.549988,317.61220000000003,314.2870039488,656396,1.2088
39,2021-04-28,316.294335516,264.600006,258.600006,312.431957242,309.16099810500003,770974,1.207
40,2021-04-29,315.47529727740005,265.149994,259.350006,316.08174727740004,312.7725533946,511872,1.2129
41,2021-04-30,314.6152727508,263.25,256.600006,310.3261772492,307.07725979,599265,1.2082
42,2021-05-03,311.9396,261.850006,257.549988,312.90310554719997,309.6272098112,320699,1.2044
43,2021-05-04,312.7263077874,261.0,252.050003,303.5903586063,300.411954516,942337,1.2021
44,2021-05-05,303.906567797,260.149994,253.0,311.64980720299997,308.38701027049996,667214,1.2005
45,2021-05-06,313.801214472,261.799988,254.5,312.11278552799996,308.84516109,582635,1.206
46,2021-05-07,337.7725972354,281.600006,275.450012,338.3755472354,334.83295792279995,1696760,1.2059
47,2021-05-10,346.69480269860003,288.600006,282.100006,348.58101960280004,344.931582745,869591,1.2169
48,2021-05-11,344.95866460400003,285.149994,280.5,345.93225,342.310552926,823448,1.217
49,2021-05-12,344.93886272919997,288.950012,284.600006,347.24127545839997,343.60587545839996,693442,1.2118
